S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency,Victory Margin,PC Name,EVM Votes Counted,Postal Votes Counted,EVM Votes Polled,Difference,Margin,Difference > Margin,Postalvotes > Margin
9.0,RESHU SHARMA,Independent,679.0,5.0,684.0,0.06,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
10.0,ANKUR,Independent,362.0,10.0,372.0,0.03,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
11.0,MANUJ VERMA,Independent,333.0,7.0,340.0,0.03,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
12.0,NOTA,None of the Above,3884.0,32.0,3916.0,0.36,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
1.0,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812.0,740.0,512552.0,51.19,Uttar Pradesh,Nagina - 5,151473.0,,,,,,,,
2.0,OM KUMAR,Bharatiya Janata Party,359751.0,1328.0,361079.0,36.06,Uttar Pradesh,Nagina - 5,,,,,,,,,
3.0,MANOJ KUMAR,Samajwadi Party,102104.0,270.0,102374.0,10.22,Uttar Pradesh,Nagina - 5,,,,,,,,,
4.0,SURENDRA PAL SINGH,Bahujan Samaj Party,13212.0,60.0,13272.0,1.33,Uttar Pradesh,Nagina - 5,,,,,,,,,
5.0,JOGENDRA,Independent,4509.0,9.0,4518.0,0.45,Uttar Pradesh,Nagina - 5,,,,,,,,,
6.0,SANJEEV KUMAR,Independent,2195.0,6.0,2201.0,0.22,Uttar Pradesh,Nagina - 5,,,,,,,,,
7.0,NOTA,None of the Above,5287.0,20.0,5307.0,0.53,Uttar Pradesh,Nagina - 5,,,,,,,,,
1.0,PRAVEEN PATEL,Bharatiya Janata Party,451380.0,1220.0,452600.0,44.6,Uttar Pradesh,Phulpur - 51,4332.0,,,,,,,,
2.0,AMAR NATH SINGH MAURYA,Samajwadi Party,446596.0,1672.0,448268.0,44.17,Uttar Pradesh,Phulpur - 51,,,,,,,,,
3.0,JAGANNATH PAL,Bahujan Samaj Party,82375.0,211.0,82586.0,8.14,Uttar Pradesh,Phulpur - 51,,,,,,,,,
4.0,MAHIMA PATEL,Apna Dal (Kamerawadi),4134.0,28.0,4162.0,0.41,Uttar Pradesh,Phulpur - 51,,,,,,,,,
5.0,JILA JEET BHARTIY,Bahujan Awam Party,3294.0,5.0,3299.0,0.33,Uttar Pradesh,Phulpur - 51,,,,,,,,,
6.0,SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040.0,7.0,3047.0,0.3,Uttar Pradesh,Phulpur - 51,,,,,,,,,
7.0,ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768.0,3.0,2771.0,0.27,Uttar Pradesh,Phulpur - 51,,,,,,,,,
