,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
76,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,450362459762573769471470503816552469559318513563587406598406495188543801495211583155426037642186514375644052483172639111420394626702505637397821487691,4423577759215535564651235176669057016737502038156049600145046081592576434204573360335526643253996071,454785465539579690477005509462557592564494520253593107605143500208547616501260589156430541648267520300651695487376644844426427632228512069403220493762,15.9129,79.74
77,Arunachal Pradesh,Arunachal Democratic Party,6419,203,6622,28.218,94.7278
78,Arunachal Pradesh,Bharatiya Janata Party,140715196415,48669002,145581205417,28.218,94.7278
79,Arunachal Pradesh,Gana Suraksha Party,27670,2860,30530,28.218,94.7278
80,Arunachal Pradesh,Independent,266911322790743110610569755921391920,912986295220894926213238,276031421393693331411518782122711958,28.218,94.7278
81,Arunachal Pradesh,Indian National Congress,109433100100,57274579,115160104679,28.218,94.7278
82,Arunachal Pradesh,None of the Above,46542133,241163,48952296,28.218,94.7278
83,Assam,Aam Aadmi Party,13761832771,246277,13786433048,31.1048,77.1734
84,Assam,All India Trinamool Congress,16359233621405520384,73157142109,16432235191419720493,31.1048,77.1734
85,Assam,All India United Democratic Front,45820229070137033,1207135307,45940929205137340,31.1048,77.1734
86,Assam,Asom Gana Parishad,853642435822,64712772,860113438594,31.1048,77.1734
87,Assam,Asom Jana Morcha,474932431823,432314,479232661837,31.1048,77.1734
88,Assam,Assam Jatiya Parishad,412793,1648,414441,31.1048,77.1734
89,Assam,Autonomous State Demand Committee,9561,72,9633,31.1048,77.1734
90,Assam,Bahujan Maha Party,482618434186,212416,484718674202,31.1048,77.1734
91,Assam,Bangali Nabanirman Sena,8001575,1718,8171593,31.1048,77.1734
92,Assam,Bharatheeya Jawan Kisan Party,12519,44,12563,31.1048,77.1734
93,Assam,Bharatiya Gana Parishad,460511978508136981993,18128142217,462312106509537202010,31.1048,77.1734
94,Assam,Bharatiya Janata Party,864583691153332440891901602019541220892766659307573579647572771018,38042609218029865359387342773815304048334770,868387693762334620894887607378545093897043663122576619652405775788,31.1048,77.1734
95,Assam,Bodoland Peoples Front,951530904043276819775,17715344644117,969231057443741219892,31.1048,77.1734
96,Assam,Communist Party of India,19562,69,19631,31.1048,77.1734
97,Assam,Communist Party of India (Marxist),95020,1118,96138,31.1048,77.1734
98,Assam,Ekam Sanatan Bharat Dal,75088998,1988,75279086,31.1048,77.1734
99,Assam,Gana Suraksha Party,1106711241932666780,453892343,1111211279941896823,31.1048,77.1734
100,Assam,Hindu Samaj Party,6137,150,6287,31.1048,77.1734
101,Assam,Independent,99309275792054743174142771098676156950185864764467538315710559003621262326002287191216501382111010941031975881841719568539117191062580916395449433636878259444473442540321021874616143656950484878360122162019458031138136,11631574181488840115334855477714117-11--11236245437464410148162351154875652051217262211173069,99419338793555483192142911099477036990187017767867618370710959073628263026012291192316571382111110951031975882842721571545117431067981286441453833737883061064508454040801029375266163662050694885362722382030459731438205,31.1048,77.1734
102,Assam,Indian National Congress,6354115380321468549123055642353743194524390646123112624458720786620386453412553,235113433336964144485772343197311123145223016411827,6377625393751471885124019643797751771526733648096113736461865788850388094414380,31.1048,77.1734
103,Assam,Jai Prakash Janata Dal,4290,29,4319,31.1048,77.1734
104,Assam,None of the Above,168882308614912321631612720139144772851242121366216716119101259818535,22911810392132110788921925020585102213,171172320415015322551625920249145552940244311391216921119951270018748,31.1048,77.1734
105,Assam,Rashtriya Ulama Council,2463372141862547,1410612,2477373141922559,31.1048,77.1734
106,Assam,Republican Party of India (Athawale),2657495634813160,2217519,2679497334863179,31.1048,77.1734
107,Assam,Socialist Unity Centre Of India (COMMUNIST),30607421398499460514494,71313178640,313174524015100161374534,31.1048,77.1734
108,Assam,The National Road Map Party of India,6934,6,6940,31.1048,77.1734
109,Assam,"United Peopleís Party, Liberal",484681,4314,488995,31.1048,77.1734
110,Assam,Voters Party International,444110887538484948641789153297320,72885432413062,444810915539285488673793253597382,31.1048,77.1734
